"","prolific_pid","modulo","id","session_id","responses","tp","tn","fp","fn","cumulative_pay","condition","incentive","trial","duration","positives","negatives","p_trial_id","block_id","block","trial_pay","selected_positives","alpha","payoff_trial","payoff_lower","payoff_upper","expected_over_optimal"
"1588","5c44b3fe1bbffd0001014286",35,1993,"5e3f647ec10d051c176daec4","5,9,2,7,6,4",4,1,2,3,-16760,"ci","1",5,10.609,7,3,69,9,3,-3920,6,99,-3920,-6080,200,0.343894284349626
"1589","5de301515253b03390043d12",80,1994,"5e3f6473efb86e1c939f60b9","2,5",2,6,0,2,-7120,"ci","10",3,14.779,4,6,56,26,3,120,2,9,120,-1160,200,0.940484937545922
"1590","58d9a79c33fef3000118abdf",50,1995,"5e3f67178dd3cf1ca62c14a0","null",0,4,0,6,-600,"ci","1",10,7.467,6,4,55,25,3,-40,0,99,-40,-8040,200,0.970755976216479
"1591","5d1e47055538e6001a842e3b",77,1996,"5e3f645423323f1c3c7463b4","3,4,8,7,1,2,10",5,3,2,0,-43920,"ci","1",7,17.861,5,5,47,17,3,-3800,7,99,-3800,-10000,200,0.607783550632291
"1592","5aeacc45d9f2be00019341ae",64,1998,"5e3f66afd960941c8cfc0d5e","1,4,9",3,6,0,1,-1120,"ci","5",30,10.533,4,6,45,15,3,160,3,19,160,-2360,200,0.983990628660679
"1593","5c8af558d551550019d44308",45,1999,"5e3f64fdaa21c61c60bdf416","8",1,6,0,3,-11320,"ci","1",1,12.067,4,6,20,20,2,80,1,99,80,-11960,200,0.990050160348656
"1594","58d9a79c33fef3000118abdf",50,2000,"5e3f67178dd3cf1ca62c14a0","8",1,3,0,6,-640,"ci","1",29,5.349,7,3,56,26,3,-40,1,99,-40,-6080,200,0.961630313644324
"1595","5be36be211870100014e3a10",43,2001,"5e3f696809a1141d0e3e447b","null",0,4,0,6,-440,"ci","5",22,9.486,6,4,7,7,1,-40,0,19,-40,-1640,200,0.86909288430201
"1596","5dbee94de0a6e839b5a23898",84,2002,"5e3f647819a5ea1c3bf2e5fa","3",1,5,0,4,3880,"ci","1",7,20.28,5,5,73,13,3,40,1,99,40,-10000,200,0.984217233604549
"1597","5dd33261fce6063503a61fd2",9,2003,"5e3f64584425131c4df331b7","9",1,7,0,2,80,"ci","5",17,12.483,3,7,86,26,4,120,1,19,120,-2720,200,0.972269770626498
"1598","5de301515253b03390043d12",80,2004,"5e3f6473efb86e1c939f60b9","10",1,8,0,1,-6960,"ci","10",21,8.769,2,8,57,27,3,160,1,9,160,-1480,200,0.975609756097561
"1599","5def263d8def535cf50388ea",28,2005,"5e3f6458f2160b1c566554ef","6,5,8,9,2,10,3",7,1,0,2,-200,"ci","10",13,14.315,9,1,6,6,1,120,7,9,120,-360,200,0.855614973262032
"1600","5c44b3fe1bbffd0001014286",35,2006,"5e3f647ec10d051c176daec4","8,3,10,7,2,5,4,6",8,2,0,0,-16560,"ci","1",9,10.297,8,2,70,10,3,200,8,99,200,-4120,200,0.999768572089794
"1601","58d9a79c33fef3000118abdf",50,2007,"5e3f67178dd3cf1ca62c14a0","9",1,7,0,2,-520,"ci","1",17,5.018,3,7,57,27,3,120,1,99,120,-13920,200,0.994263862332696
"1602","5dc1d03762ec50143144ac3f",96,2008,"5e3f646781d99c1c0b45cf27","8,3,9,2",4,6,0,0,-5400,"ci","10",6,22.56,4,6,32,2,2,200,4,9,200,-1160,200,0.999265246142542
"1603","5dbee94de0a6e839b5a23898",84,2009,"5e3f647819a5ea1c3bf2e5fa","10,8",2,3,0,5,3880,"ci","1",29,6.083,7,3,74,14,3,0,2,99,0,-6080,200,0.967998726317465
"1604","5aeacc45d9f2be00019341ae",64,2010,"5e3f66afd960941c8cfc0d5e","9,8,2",2,5,1,2,-1400,"ci","5",1,10.295,4,6,46,16,3,-280,3,19,-280,-2360,200,0.812182741116751
"1605","5be36be211870100014e3a10",43,2011,"5e3f696809a1141d0e3e447b","8,3,2,10",3,5,1,1,-680,"ci","5",3,8.597,4,6,8,8,1,-240,4,19,-240,-2360,200,0.827801639984381
"1606","58d9a79c33fef3000118abdf",50,2012,"5e3f67178dd3cf1ca62c14a0","5",1,3,0,6,-560,"ci","1",5,5.718,7,3,58,28,3,-40,1,99,-40,-6080,200,0.961630313644324
"1607","5d1e47055538e6001a842e3b",77,2014,"5e3f645423323f1c3c7463b4","10,6,2,4,1,9",4,2,2,2,-47800,"ci","1",22,16.844,6,4,48,18,3,-3880,6,99,-3880,-8040,200,0.504793107632569
"1608","5de301515253b03390043d12",80,2015,"5e3f6473efb86e1c939f60b9","5",1,6,0,3,-6880,"ci","10",8,11.302,4,6,58,28,3,80,1,9,80,-1160,200,0.911094783247612
"1609","5dbee94de0a6e839b5a23898",84,2016,"5e3f647819a5ea1c3bf2e5fa","9",1,5,0,4,3920,"ci","1",20,6.266,5,5,75,15,3,40,1,99,40,-10000,200,0.984217233604549
"1610","58d9a79c33fef3000118abdf",50,2017,"5e3f67178dd3cf1ca62c14a0","3",1,6,0,3,-480,"ci","1",24,5.56,4,6,59,29,3,80,1,99,80,-11960,200,0.990050160348656
"1611","5dc1d03762ec50143144ac3f",96,2018,"5e3f646781d99c1c0b45cf27","7,2,6,8,4",5,2,0,3,-5320,"ci","10",9,10.239,8,2,33,3,2,80,5,9,80,-520,200,0.832177531206657
"1612","5e39b4e8eed08202335f88bb",11,2019,"5e3f6464ce52251bf065935e","7,2,9,4",4,5,0,1,-2560,"ci","1",11,43.116,5,5,61,1,3,-2560,4,99,160,-10000,200,0.995980786197432
"1613","5c44b3fe1bbffd0001014286",35,2020,"5e3f647ec10d051c176daec4","2,3,8,6,4,5",6,1,0,3,-16480,"ci","1",13,15.26,9,1,71,11,3,80,6,99,80,-2160,200,0.948750529436679
"1614","5dd33261fce6063503a61fd2",9,2021,"5e3f64584425131c4df331b7","null",0,3,0,7,0,"ci","5",26,17.451,7,3,87,27,4,-80,0,19,-80,-1280,200,0.810263335584065
"1615","5dbee94de0a6e839b5a23898",84,2023,"5e3f647819a5ea1c3bf2e5fa","9,2",2,5,0,3,4000,"ci","1",11,6.6,5,5,76,16,4,80,2,99,80,-10000,200,0.988138417802176
"1616","5defe76ec33cea000b6cb8e1",58,2024,"5e3f6466f09a9f1c6057268b","4",1,3,0,6,-4360,"ci","10",27,5.031,7,3,61,1,3,-4360,1,9,-40,-680,200,0.726447219069239
"1617","5be36be211870100014e3a10",43,2025,"5e3f696809a1141d0e3e447b","5",1,9,0,0,-480,"ci","5",15,12.732,1,9,9,9,1,200,1,19,200,-3440,200,0.999725350178522
"1618","58d9a79c33fef3000118abdf",50,2026,"5e3f67178dd3cf1ca62c14a0","4",1,5,0,4,-440,"ci","1",12,6.293,5,5,60,30,3,40,1,99,40,-10000,200,0.984217233604549
"1619","5def263d8def535cf50388ea",28,2027,"5e3f6458f2160b1c566554ef","2,10,6,9",4,4,0,2,-80,"ci","10",10,19.793,6,4,7,7,1,120,4,9,120,-840,200,0.922190201729107
"1620","5aeacc45d9f2be00019341ae",64,2028,"5e3f66afd960941c8cfc0d5e","8,10,2,5,3,4",4,4,2,0,-2000,"ci","5",3,13.599,4,6,47,17,3,-600,6,19,-600,-2360,200,0.687231550175713
"1621","5c44b3fe1bbffd0001014286",35,2029,"5e3f647ec10d051c176daec4","3,9",2,7,0,1,-16320,"ci","1",17,7.614,3,7,72,12,3,160,2,99,160,-13920,200,0.997096522909142
"1622","5d1e47055538e6001a842e3b",77,2030,"5e3f645423323f1c3c7463b4","9,8,2,3,4",4,5,1,0,-49600,"ci","1",6,17.892,4,6,49,19,3,-1800,5,99,-1800,-11960,200,0.835457610393882
"1623","5dc1d03762ec50143144ac3f",96,2031,"5e3f646781d99c1c0b45cf27","4,9,7,8",4,5,0,1,-5160,"ci","10",12,11.208,5,5,34,4,2,160,4,9,160,-1000,200,0.96586178184846
