"","trial","region_idx","nregions","p_value","alpha","rank","critical_value","bh_profit","is_profit","tp","tn","fp","fn"
"273",14,1,12,0.13812,0.05,5,0.0208333333333333,FALSE,TRUE,0,0,0,1
"274",14,6,12,0.15064,0.05,6,0.025,FALSE,TRUE,0,0,0,1
"275",14,10,12,0.1538,0.05,7,0.0291666666666667,FALSE,FALSE,0,1,0,0
"276",14,5,12,0.25622,0.05,8,0.0333333333333333,FALSE,TRUE,0,0,0,1
"277",14,11,12,0.45797,0.05,9,0.0375,FALSE,FALSE,0,1,0,0
"278",14,7,12,0.71957,0.05,10,0.0416666666666667,FALSE,FALSE,0,1,0,0
"279",14,9,12,0.83465,0.05,11,0.0458333333333333,FALSE,FALSE,0,1,0,0
"280",14,8,12,0.86949,0.05,12,0.05,FALSE,FALSE,0,1,0,0
"281",15,2,8,0.00013,0.05,1,0.00625,TRUE,TRUE,1,0,0,0
"282",15,1,8,0.00059,0.05,2,0.0125,TRUE,TRUE,1,0,0,0
"283",15,6,8,0.00564,0.05,3,0.01875,TRUE,TRUE,1,0,0,0
"284",15,5,8,0.00643,0.05,4,0.025,TRUE,TRUE,1,0,0,0
"285",15,3,8,0.05468,0.05,5,0.03125,FALSE,FALSE,0,1,0,0
"286",15,4,8,0.08908,0.05,6,0.0375,FALSE,TRUE,0,0,0,1
"287",15,8,8,0.3911,0.05,7,0.04375,FALSE,FALSE,0,1,0,0
"288",15,7,8,0.69867,0.05,8,0.05,FALSE,FALSE,0,1,0,0
"289",15,7,12,0.00149,0.05,1,0.00416666666666667,TRUE,TRUE,1,0,0,0
"290",15,6,12,0.00199,0.05,2,0.00833333333333333,TRUE,TRUE,1,0,0,0
"291",15,12,12,0.00213,0.05,3,0.0125,TRUE,TRUE,1,0,0,0
"292",15,1,12,0.00653,0.05,4,0.0166666666666667,TRUE,TRUE,1,0,0,0
"293",15,2,12,0.02144,0.05,5,0.0208333333333333,FALSE,TRUE,0,0,0,1
"294",15,9,12,0.02729,0.05,6,0.025,FALSE,TRUE,0,0,0,1
"295",15,5,12,0.02893,0.05,7,0.0291666666666667,TRUE,TRUE,1,0,0,0
"296",15,4,12,0.04221,0.05,8,0.0333333333333333,FALSE,FALSE,0,1,0,0
"297",15,3,12,0.04972,0.05,9,0.0375,FALSE,FALSE,0,1,0,0
"298",15,11,12,0.49105,0.05,10,0.0416666666666667,FALSE,FALSE,0,1,0,0
"299",15,10,12,0.52664,0.05,11,0.0458333333333333,FALSE,TRUE,0,0,0,1
"300",15,8,12,0.83148,0.05,12,0.05,FALSE,FALSE,0,1,0,0
"301",16,3,8,0.02879,0.05,1,0.00625,FALSE,TRUE,0,0,0,1
"302",16,8,8,0.07338,0.05,2,0.0125,FALSE,TRUE,0,0,0,1
"303",16,7,8,0.33602,0.05,3,0.01875,FALSE,FALSE,0,1,0,0
"304",16,1,8,0.37255,0.05,4,0.025,FALSE,FALSE,0,1,0,0
"305",16,5,8,0.45949,0.05,5,0.03125,FALSE,FALSE,0,1,0,0
"306",16,4,8,0.67847,0.05,6,0.0375,FALSE,FALSE,0,1,0,0
"307",16,2,8,0.85415,0.05,7,0.04375,FALSE,TRUE,0,0,0,1
"308",16,6,8,0.9977,0.05,8,0.05,FALSE,FALSE,0,1,0,0
