"id","prolific_pid","session_id","responses","tp","tn","fp","fn","cumulative_pay","condition","incentive","trial","duration","flags"
25656,"fcfd489e","5ebaa9fd8f799200089fde0f","11,5,8,6,7,2",1,6,-5,0,-3240,"raw-data",5,32,88.532,""
25657,"2feade86","5ebaaa13b105f100097a623d","4,2,3,12",4,5,0,-3,-1240,"raw-data",5,10,45.6,""
25658,"f40648ca","5ebaaa0ef16ab9000ba336d9","2",1,6,0,-5,-800,"raw-data",5,13,10.11,""
25659,"5e9980a8","5ebaa9fdee72bc000a90840f","5,8,7,3,11,4,12,6,10",8,3,-1,0,-2760,"raw-data",5,27,23.091,""
25660,"2ffaaad6","5ebaaa0a5bbb550008b73326","4,3",2,3,0,-3,-9480,"raw-data",5,17,11.837,""
25661,"f2868c09","5ebaaa0e8314b40008a4e035","4,3,2,8",4,4,0,0,-2840,"raw-data",5,21,7.911,""
25662,"fbcde0e8","5ebaa9fdb46f9c000a082560","12,2,7,9,6,3,11,5,1",5,3,-4,0,-15680,"raw-data",5,8,13.034,""
25663,"d0d36aa1","5ebaaa146befc1000b9f70a5","11,12,6",3,6,0,-3,-880,"raw-data",5,25,48.29,""
25664,"aa73781f","5ebaaa198f7992000b602653","11,5",2,4,0,-6,-6600,"raw-data",5,23,7.59,""
25665,"66673fd1","5ebaaa19c7f8c2000b80075d","8,10,4,3,9,12",6,5,0,-1,-2240,"raw-data",5,2,14.585,""
25666,"d67bf99a","5ebaaa12d9ef2900098cd942","2,3",2,6,0,-4,-160,"raw-data",5,13,6.559,""
25667,"ca489acb","5ebaaa11c3d7670008f75ba1","12,7,8,9,4",5,7,0,0,-8960,"raw-data",5,11,13.332,""
25668,"17bc85fd","5ebaaa1474f38100095380ac","2,5,3",2,2,-1,-3,-7040,"raw-data",5,29,8.568,""
25669,"62bca0ea","5ebaaa0e41cc8b000827c4f1","1,4,11,9",4,6,0,-2,-1560,"raw-data",5,9,9.892,""
25670,"0d036d41","5ebaaa02dbaf970008308400","12",1,6,0,-5,-120,"raw-data",5,14,7.385,""
25671,"ada3efba","5ebaaa107e02a00008698fab","9,7",0,5,-2,-5,-840,"raw-data",5,16,14.323,""
25672,"6a0786b4","5ebaaa02f290a1000ca8fdea","5,4",2,4,0,-2,-3360,"raw-data",5,9,12.085,""
25673,"98b77969","5ebaaa0a7e02a00008698faa","5,8,11,12,4,6,10,7",8,4,0,0,-640,"raw-data",5,27,25.243,""
25674,"2d334478","5ebaa9fe5f72f60009f916f8","2",1,6,0,-5,-3120,"raw-data",5,13,10.237,""
25675,"1da2d7a1","5ebaaa087e02a0000a5b7a2f","4",1,3,0,-4,-1600,"raw-data",5,31,14.061,""
