"id","prolific_pid","session_id","responses","tp","tn","fp","fn","cumulative_pay","condition","incentive","trial","duration","flags"
13208,"5cebae5b2e4f1700012a915a","5e9daeee3fcda10b668d8552","2,4,6,5,1",5,3,0,0,-4560,"ci","5",15,10.342,
13209,"5e455ad0703c9403276f7872","5e9daedec9faf40bf7e8f049","4,3,6,2,5",4,2,-1,-1,-16520,"ci","5",29,6.764,
13210,"5e67a2148d2161000c4b1d57","5e9daec50fb1590bd8b6feaa","8,4,7",1,2,-2,-3,-26760,"ci","5",12,2.967,
13211,"5e6d59aca2a42832fc539205","5e9daedbd8d8010c94ea2e5e","4,5,6",3,3,0,-2,160,"ci","5",31,11.134,
13212,"5d1aab1fb8fd6c001834e939","5e9daebf32b4a20bda7aaf89","1,8,4",3,5,0,-4,-7360,"ci","5",35,15.349,
13213,"5d4855cf4574f300013a7945","5e9daeed3d4c420bfa82c98a","7,11,2,10,12",3,5,-2,-2,-15240,"ci","5",1,18.714,
13214,"5daaf077a131410013cfce11","5e9daeed533d5e0b6fa5fbfb","2",1,4,0,-3,-2360,"ci","5",28,4.376,
13215,"5bd170999afb5b00015ba3b1","5e9daec7c8df730bd44671b9","2,8,6,5",4,3,0,-1,2920,"ci","5",27,18.463,
13216,"5e67a2148d2161000c4b1d57","5e9daec50fb1590bd8b6feaa","2,8,7",2,2,-1,-3,-27120,"ci","5",35,2.983,
13217,"5d9a40d81abbe700154a04a0","5e9daee71d362a0b6e169386","5,8,2",3,4,0,-5,1320,"ci","5",23,8.018,
13218,"5e7dd515aa9da60009e412f2","5e9db0a139a7630c58872778","2,4",2,4,0,-2,3000,"ci","5",28,9.15,
13219,"5e7bcff00fb32c0f51fea882","5e9daed9e3075e0c31f314ef","2",1,5,0,-2,-120,"ci","5",19,6.362,
13220,"5e67a2148d2161000c4b1d57","5e9daec50fb1590bd8b6feaa","1,7,2",3,2,0,-3,-27080,"ci","5",22,2.673,
13221,"5c59b060c16a6a0001c09337","5e9daee839a7630bed3fca45","9,12,11,4,1",5,6,0,-1,3520,"ci","5",9,17.728,
13222,"5cebae5b2e4f1700012a915a","5e9daeee3fcda10b668d8552","7,3,5",3,5,0,0,-4400,"ci","5",20,7.388,
13223,"5daaf077a131410013cfce11","5e9daeed533d5e0b6fa5fbfb","5",1,3,0,-4,-2360,"ci","5",29,4.564,
13224,"5b06ebe96f73510001fdb40e","5e9dafed73ed8c0c84d2b877","6,4,5",3,5,0,0,-1800,"ci","5",8,13.163,
13225,"5e67a2148d2161000c4b1d57","5e9daec50fb1590bd8b6feaa","8,3,6",2,3,-1,-2,-27400,"ci","5",9,3.42,
13226,"5e7dd515aa9da60009e412f2","5e9db0a139a7630c58872778","5,3",2,3,0,-3,3040,"ci","5",23,5.602,
